testType,structType,k,N,D,distribution,timing,trial
k,quadTree,1,1000,2,G,192769,1
k,quadTree,1,1000,2,G,202009,2
k,quadTree,1,1000,2,G,181305,3
k,quadTree,5,1000,2,U,244130,1
k,quadTree,5,1000,2,U,237158,2
k,quadTree,5,1000,2,U,226599,3
k,quadTree,5,1000,2,G,184983,1
k,quadTree,5,1000,2,G,191542,2
k,quadTree,5,1000,2,G,180564,3
k,quadTree,10,1000,2,U,227482,1
k,quadTree,10,1000,2,U,251659,2
k,quadTree,10,1000,2,U,233481,3
k,quadTree,10,1000,2,G,187548,1
k,quadTree,10,1000,2,G,194275,2
k,quadTree,10,1000,2,G,197097,3
k,quadTree,20,1000,2,U,250414,1
k,quadTree,20,1000,2,U,258504,2
k,quadTree,20,1000,2,U,246043,3
k,quadTree,20,1000,2,G,198434,1
k,quadTree,20,1000,2,G,206836,2
k,quadTree,20,1000,2,G,196736,3
k,quadTree,25,1000,2,U,254769,1
k,quadTree,25,1000,2,U,258454,2
k,quadTree,25,1000,2,U,273223,3
k,quadTree,25,1000,2,G,194664,1
k,quadTree,25,1000,2,G,203702,2
k,quadTree,25,1000,2,G,208398,3
k,kdTree,1,1000,2,U,112138,1
k,kdTree,1,1000,2,U,111077,2
k,kdTree,1,1000,2,U,112709,3
k,kdTree,1,1000,2,G,98498,1
k,kdTree,1,1000,2,G,86275,2
k,kdTree,1,1000,2,G,85196,3
k,kdTree,5,1000,2,U,114718,1
k,kdTree,5,1000,2,U,113491,2
k,kdTree,5,1000,2,U,108525,3
k,kdTree,5,1000,2,G,83325,1
k,kdTree,5,1000,2,G,83154,2
k,kdTree,5,1000,2,G,84730,3
k,kdTree,10,1000,2,U,123863,1
k,kdTree,10,1000,2,U,114017,2
k,kdTree,10,1000,2,U,118674,3
k,kdTree,10,1000,2,G,86444,1
k,kdTree,10,1000,2,G,86295,2
k,kdTree,10,1000,2,G,85114,3
k,kdTree,20,1000,2,U,125145,1
k,kdTree,20,1000,2,U,115557,2
k,kdTree,20,1000,2,U,117187,3
k,kdTree,20,1000,2,G,93121,1
k,kdTree,20,1000,2,G,94939,2
k,kdTree,20,1000,2,G,95811,3
k,kdTree,25,1000,2,U,129852,1
k,kdTree,25,1000,2,U,123366,2
k,kdTree,25,1000,2,U,127343,3
k,kdTree,25,1000,2,G,94223,1
