testType,structType,k,N,D,distribution,timing,trial
kn,bucket,10,5000,2,U,806126,3
kn,bucket,20,10000,2,U,3635441,3
kn,quadTree,1,100,2,U,256,3
kn,quadTree,1,100,2,G,196,3
kn,quadTree,5,1000,2,U,25605,3
kn,quadTree,5,1000,2,G,20995,3
kn,quadTree,10,5000,2,U,532824,3
kn,quadTree,10,5000,2,G,415460,3
kn,quadTree,20,10000,2,U,2232777,3
kn,quadTree,20,10000,2,G,1627652,3
n,quadTree,10,100,2,U,196,3
n,quadTree,10,100,2,G,181,3
n,quadTree,10,1000,2,U,22833,3
n,quadTree,10,1000,2,G,18772,3
n,quadTree,10,5000,2,U,564050,3
n,quadTree,10,5000,2,G,409887,3
n,quadTree,10,10000,2,U,2242377,3
n,quadTree,10,10000,2,G,1681585,3
k,quadTree,1,1000,2,U,235062,3
k,quadTree,1,1000,2,G,198771,3
k,quadTree,5,1000,2,U,242098,3
k,quadTree,5,1000,2,G,194131,3
k,quadTree,10,1000,2,U,246205,3
k,quadTree,10,1000,2,G,196168,3
k,quadTree,20,1000,2,U,261341,3
k,quadTree,20,1000,2,G,201803,3
k,kdTree,1,1000,2,U,113624,3
k,kdTree,1,1000,2,G,91187,3
k,kdTree,5,1000,2,U,114762,3
k,kdTree,5,1000,2,G,83409,3
k,kdTree,10,1000,2,U,109688,3
k,kdTree,10,1000,2,G,88121,3
k,kdTree,20,1000,2,U,129004,3
k,kdTree,20,1000,2,G,94362,3
n,kdTree,10,100,2,U,71,3
n,kdTree,10,100,2,G,61,3
n,kdTree,10,1000,2,U,10399,3
n,kdTree,10,1000,2,G,8313,3
n,kdTree,10,5000,2,U,225617,3
n,kdTree,10,5000,2,G,164392,3
n,kdTree,10,10000,2,U,908441,3
n,kdTree,10,10000,2,G,626746,3
kn,kdTree,1,100,2,U,57,3
kn,kdTree,1,100,2,G,59,3
kn,kdTree,5,1000,2,U,12227,3
kn,kdTree,5,1000,2,G,8418,3
kn,kdTree,10,5000,2,U,235655,3
kn,kdTree,10,5000,2,G,165545,3
kn,kdTree,20,10000,2,U,959852,3
kn,kdTree,20,10000,2,G,644357,3
d,kdTree,10,1000,1,G,59812,3
d,kdTree,10,1000,2,G,86103,3
d,kdTree,10,1000,3,G,118618,3
d,kdTree,10,1000,4,G,142951,3
d,kdTree,10,1000,5,G,169214,3
d,kdTree,10,1000,6,G,178519,3
d,kdTree,10,1000,7,G,206637,3
d,kdTree,10,1000,1,U,87220,3
d,kdTree,10,1000,2,U,114449,3
d,kdTree,10,1000,3,U,135963,3
d,kdTree,10,1000,4,U,159856,3
d,kdTree,10,1000,5,U,178405,3
d,kdTree,10,1000,6,U,194331,3
d,kdTree,10,1000,7,U,214592,3
